complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,11765.351,111.55776,0.0,111.557760000000,PySRFunction(X=>111.557760000000),111.55776
2,3948.237,exp(x16),1.0918897058238173,exp(x16),PySRFunction(X=>exp(x16)),exp((sqrt(t)))
3,493.95618,x3 * 11.94252,2.0785776203467483,x3*11.94252,PySRFunction(X=>x3*11.94252),(t - sqrt(t) + exp(-t)) * 11.94252
5,485.62988,(x13 * 11.7743635) + x6,0.0085000194112688,x13*11.7743635 + x6,PySRFunction(X=>x13*11.7743635 + x6),((t - sqrt(t)) * 11.7743635) + (exp(C_pg / C_eth))
6,438.1658,x3 * (-63.809753 / log(x14)),0.1028493924159804,-63.809753*x3/log(x14),PySRFunction(X=>-63.809753*x3/log(x14)),(t - sqrt(t) + exp(-t)) * (-63.809753 / log((inv(C_pg * C_eth))))
7,394.0322,((x0 * -0.011395606) + 14.494927) * x3,0.1061647457146103,x3*(14.494927 + x0*(-0.011395606)),PySRFunction(X=>x3*(14.494927 + x0*(-0.011395606))),(((C_pg * C_eth) * -0.011395606) + 14.494927) * (t - sqrt(t) + exp(-t))
8,374.771,((square(x0) * -2.5380185e-5) + 13.333238) * x3,0.0501174590759683,x3*(13.333238 + x0**2*(-2.5380185e-5)),PySRFunction(X=>x3*(13.333238 + x0**2*(-2.5380185e-5))),((square((C_pg * C_eth)) * -2.5380185e-5) + 13.333238) * (t - sqrt(t) + exp(-t))
9,370.10046,(((x14 * -325745.6) - -4191.3623) * x3) / x0,0.0125406904722516,x3*(x14*(-325745.6) - 1*(-4191.3623))/x0,PySRFunction(X=>x3*(x14*(-325745.6) - 1*(-4191.3623))/x0),((((inv(C_pg * C_eth)) * -325745.6) - -4191.3623) * (t - sqrt(t) + exp(-t))) / (C_pg * C_eth)
10,335.56366,x3 * (((log(x14) * -2011.7496) + -8160.011) / x0),0.0979627972397459,x3*(-2011.7496*log(x14) - 8160.011)/x0,PySRFunction(X=>x3*(-2011.7496*log(x14) - 8160.011)/x0),(t - sqrt(t) + exp(-t)) * (((log((inv(C_pg * C_eth))) * -2011.7496) + -8160.011) / (C_pg * C_eth))
11,329.61185,(x3 * ((x14 * -330731.12) - -5478.729)) / (x0 + 103.25673),0.0178959349999764,x3*(x14*(-330731.12) - 1*(-5478.729))/(x0 + 103.25673),PySRFunction(X=>x3*(x14*(-330731.12) - 1*(-5478.729))/(x0 + 103.25673)),((t - sqrt(t) + exp(-t)) * (((inv(C_pg * C_eth)) * -330731.12) - -5478.729)) / ((C_pg * C_eth) + 103.25673)
12,318.271,((log(x14) * -1944.1428) + -7974.856) * (x3 / (x0 - x17)),0.0350125289382201,x3*(-1944.1428*log(x14) - 7974.856)/(x0 - x17),PySRFunction(X=>x3*(-1944.1428*log(x14) - 7974.856)/(x0 - x17)),((log((inv(C_pg * C_eth))) * -1944.1428) + -7974.856) * ((t - sqrt(t) + exp(-t)) / ((C_pg * C_eth) - (C_pg)))
14,308.63507,(x3 / x0) * ((log(x14) * -2012.3661) + ((x6 * 60.66208) - 8350.379)),0.0153718226965512,x3*(60.66208*x6 - 2012.3661*log(x14) - 8350.379)/x0,PySRFunction(X=>x3*(60.66208*x6 - 2012.3661*log(x14) - 8350.379)/x0),((t - sqrt(t) + exp(-t)) / (C_pg * C_eth)) * ((log((inv(C_pg * C_eth))) * -2012.3661) + (((exp(C_pg / C_eth)) * 60.66208) - 8350.379))
15,306.3484,x3 * ((sqrt(x6) + 92.804016) + ((log(x14) * 13.348438) - (2230.5278 / x0))),0.0074365593539872,x3*(sqrt(x6) + 13.348438*log(x14) + 92.804016 - 2230.5278/x0),PySRFunction(X=>x3*(sqrt(x6) + 13.348438*log(x14) + 92.804016 - 2230.5278/x0)),(t - sqrt(t) + exp(-t)) * ((sqrt((exp(C_pg / C_eth))) + 92.804016) + ((log((inv(C_pg * C_eth))) * 13.348438) - (2230.5278 / (C_pg * C_eth))))
16,303.632,(((((x6 * 59.840794) + -2335.8386) / x0) + (log(x14) * 12.9594)) + 92.043106) * x3,0.0089065745620049,x3*(12.9594*log(x14) + 92.043106 + (59.840794*x6 - 2335.8386)/x0),PySRFunction(X=>x3*(12.9594*log(x14) + 92.043106 + (59.840794*x6 - 2335.8386)/x0)),((((((exp(C_pg / C_eth)) * 59.840794) + -2335.8386) / (C_pg * C_eth)) + (log((inv(C_pg * C_eth))) * 12.9594)) + 92.043106) * (t - sqrt(t) + exp(-t))
18,303.24326,(((((x6 * 59.812317) - 2334.313) / x0) + ((log(x14) * 12.950809) + 91.821625)) * x3) + x8,0.0006405600603473,x3*(12.950809*log(x14) + 91.821625 + (59.812317*x6 - 2334.313)/x0) + x8,PySRFunction(X=>x3*(12.950809*log(x14) + 91.821625 + (59.812317*x6 - 2334.313)/x0) + x8),((((((exp(C_pg / C_eth)) * 59.812317) - 2334.313) / (C_pg * C_eth)) + ((log((inv(C_pg * C_eth))) * 12.950809) + 91.821625)) * (t - sqrt(t) + exp(-t))) + (log(t))
19,302.69504,x3 * ((((log(x14) * 12.615093) + inv(x6)) + (((x6 * 77.46232) - 2325.456) / x0)) + 89.50281),0.0018094916580931,x3*(12.615093*log(x14) + 89.50281 + 1/x6 + (77.46232*x6 - 2325.456)/x0),PySRFunction(X=>x3*(12.615093*log(x14) + 89.50281 + 1/x6 + (77.46232*x6 - 2325.456)/x0)),(t - sqrt(t) + exp(-t)) * ((((log((inv(C_pg * C_eth))) * 12.615093) + inv((exp(C_pg / C_eth)))) + ((((exp(C_pg / C_eth)) * 77.46232) - 2325.456) / (C_pg * C_eth))) + 89.50281)
