rank,size,fitness_total,mse_train_norm,infix
1,17,0.0201985,0.00666215,(log(1+exp((Q + Q))) / (((C2 - ((C1 / C3) - (Q)**2)))**2 + (-1.5346103937034676)**2))
2,18,0.0202429,0.0249426,(log(1+exp((Q + Q))) / (log(1+exp(-0.8267387558423872)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
3,18,0.020246,0.00773298,(log(1+exp((Q + Q))) / (log(1+exp(1.3041591448677246)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
4,17,0.0203499,0.174119,(log(1+exp((Q + Q))) / (-0.8267387558423872 + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
5,18,0.0204155,0.00744292,(log(1+exp((Q + Q))) / (log(1+exp(1.3394142469784298)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
6,18,0.0206552,0.013419,(log(1+exp((Q + Q))) / (log(1+exp(0.22690671447384025)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
7,18,0.0206552,0.013419,(log(1+exp((Q + Q))) / (log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2)) + log(1+exp(0.22690671447384025))))
8,18,0.0206993,0.00755934,(log(1+exp((Q + Q))) / (1.5215349994995793 + (((Q - C2) - ((C1 / C3) - (Q)**2)))**2))
9,19,0.0207102,0.00651962,(log(1+exp((Q + Q))) / (Q + (((C2 - ((C1 / C3) - (Q)**2)))**2 + log(1+exp(0.22690671447384025)))))
10,17,0.0207254,0.00687279,(log(1+exp((Q + Q))) / (1.6808831581030932 + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
11,19,0.0207351,0.00783418,(log(1+exp((log(1+exp(Q)) + Q))) / (1.7264665858664867 + (((C1 / C3) - ((Q - C2) - (Q)**2)))**2))
12,19,0.0208091,0.00625218,(log(1+exp((Q + Q))) / ((1.6307750353895227 + C3) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
13,18,0.0208154,0.0634071,(log(1+exp((Q + Q))) / (0.22690671447384025 + (((Q - C2) - ((C1 / C3) - (Q)**2)))**2))
14,18,0.0208318,0.0472277,(log(1+exp((Q + Q))) / (log(1+exp(-3.022403511740701)) + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
15,18,0.0208341,0.00683797,(log(1+exp((Q + Q))) / ((1.4840796999232877)**2 + log(1+exp(((C2 - ((C1 / C3) - (Q)**2)))**2))))
16,18,0.02085,0.0069298,(log(1+exp((Q + Q))) / (1.493376809037875 + (((C1 / C3) - ((Q - C2) - (Q)**2)))**2))
17,18,0.020867,0.00680865,(log(1+exp((Q + Q))) / (log(1+exp((C2 + Q))) + log(1+exp((((C1 / C3) - (Q)**2))**2))))
18,18,0.0208984,0.00684004,(log(1+exp((Q + Q))) / (1.2134768210763558 + (((C1 / C3) - ((Q - C2) - (Q)**2)))**2))
19,17,0.0209006,0.0319011,(log(1+exp((Q + Q))) / (((C2 - ((C1 / C3) - (Q)**2)))**2 + log(1+exp(0.22690671447384025))))
20,19,0.0209444,0.0296044,(log(1+exp((Q + Q))) / (((C2 - ((C1 / (C1 / C3)) - (Q)**2)))**2 + log(1+exp(0.22690671447384025))))
