complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13)
2,3948.237,exp(x1),1.0143929417822932,exp(x1),PySRFunction(X=>exp(x1))
3,495.62006,x3 / 0.083727434,2.0752148040204323,x3/0.083727434,PySRFunction(X=>x3/0.083727434)
5,394.59674,x3 * (x23 / 0.124945514),0.11397264655130018,x23*x3/0.124945514,PySRFunction(X=>x23*x3/0.124945514)
6,392.17892,(square(x22) + 6.8938637) * x3,0.006146167793669011,x3*(x22**2 + 6.8938637),PySRFunction(X=>x3*(x22**2 + 6.8938637))
7,323.81287,(x3 * x23) / (0.11214635 - x19),0.1915523770191445,x23*x3/(0.11214635 - x19),PySRFunction(X=>x23*x3/(0.11214635 - x19))
8,323.81284,x3 * (sqrt(x22) / (0.11214635 - x19)),9.264610563783354e-08,sqrt(x22)*x3/(0.11214635 - x19),PySRFunction(X=>sqrt(x22)*x3/(0.11214635 - x19))
9,255.98999,x3 * ((x23 + (x16 * x19)) / 0.10808944),0.23502735241222872,x3*(x16*x19 + x23)/0.10808944,PySRFunction(X=>x3*(x16*x19 + x23)/0.10808944)
11,240.39494,x3 * ((-17.546314 / (x23 + (x19 * x16))) + 25.630121),0.0314275939829767,x3*(25.630121 - 17.546314/(x16*x19 + x23)),PySRFunction(X=>x3*(25.630121 - 17.546314/(x16*x19 + x23)))
12,222.16718,(x23 / (square((x26 * 50.729774) + -0.32063708) + 0.11408441)) * x3,0.07885299266099442,x23*x3/((x26*50.729774 - 0.32063708)**2 + 0.11408441),PySRFunction(X=>x23*x3/((x26*50.729774 - 0.32063708)**2 + 0.11408441))
13,212.72906,x3 * ((((x19 * x16) + x23) / (x26 + 0.06629747)) + -6.251429),0.04341082429814463,x3*(-6.251429 + (x16*x19 + x23)/(x26 + 0.06629747)),PySRFunction(X=>x3*(-6.251429 + (x16*x19 + x23)/(x26 + 0.06629747)))
14,211.33281,x3 * ((x23 / (square((x26 * 50.729774) + -0.32049614) + 0.11285536)) + x18),0.006585147802128111,x3*(x18 + x23/((x26*50.729774 - 0.32049614)**2 + 0.11285536)),PySRFunction(X=>x3*(x18 + x23/((x26*50.729774 - 0.32049614)**2 + 0.11285536)))
15,194.82314,x3 * (((x26 * -451.2265) + 33.420673) + (-24.690434 / ((x16 * x19) + x23))),0.08134201677069,x3*(x26*(-451.2265) + 33.420673 - 24.690434/(x16*x19 + x23)),PySRFunction(X=>x3*(x26*(-451.2265) + 33.420673 - 24.690434/(x16*x19 + x23)))
16,181.15268,((x23 + (x16 * x19)) / (square((x26 * 39.488453) + -0.20619632) + 0.10429692)) * x3,0.07275196105370826,x3*(x16*x19 + x23)/((x26*39.488453 - 0.20619632)**2 + 0.10429692),PySRFunction(X=>x3*(x16*x19 + x23)/((x26*39.488453 - 0.20619632)**2 + 0.10429692))
18,166.17973,(((x23 + (x16 * x19)) / (square((x26 * 25.895191) + -0.116588645) + 0.076894574)) - 4.501629) * x3,0.04313514905484784,x3*((x16*x19 + x23)/((x26*25.895191 - 0.116588645)**2 + 0.076894574) - 1*4.501629),PySRFunction(X=>x3*((x16*x19 + x23)/((x26*25.895191 - 0.116588645)**2 + 0.076894574) - 1*4.501629))
20,164.27379,1.790592 + ((((x23 + (x16 * x19)) / (square((x26 * 25.895191) + -0.11657124) + 0.07724263)) - 4.5016336) * x3),0.005767713216110233,x3*((x16*x19 + x23)/((x26*25.895191 - 0.11657124)**2 + 0.07724263) - 1*4.5016336) + 1.790592,PySRFunction(X=>x3*((x16*x19 + x23)/((x26*25.895191 - 0.11657124)**2 + 0.07724263) - 1*4.5016336) + 1.790592)
21,163.85547,(((((x19 * x16) + x23) / (square((25.89519 * x26) + -0.11657112) + 0.07728742)) - 4.5015206) * x3) + exp(x7),0.002549728278598578,x3*((x16*x19 + x23)/((25.89519*x26 - 0.11657112)**2 + 0.07728742) - 1*4.5015206) + exp(x7),PySRFunction(X=>x3*((x16*x19 + x23)/((25.89519*x26 - 0.11657112)**2 + 0.07728742) - 1*4.5015206) + exp(x7))
22,163.4717,((((x19 * x16) + x23) / (square((25.895184 * x26) + -0.117315166) + 0.07731865)) - 4.5014234) * (x3 + (x7 * 0.32636696)),0.0023448721097255863,(x3 + x7*0.32636696)*((x16*x19 + x23)/((25.895184*x26 - 0.117315166)**2 + 0.07731865) - 1*4.5014234),PySRFunction(X=>(x3 + x7*0.32636696)*((x16*x19 + x23)/((25.895184*x26 - 0.117315166)**2 + 0.07731865) - 1*4.5014234))
23,163.0383,(((((x19 * x16) + x23) / (square((x26 * 25.895184) + -0.117315166) + 0.07731865)) - 4.5014234) * (x3 + 0.32636696)) - exp(x17),0.0026547441397702233,(x3 + 0.32636696)*((x16*x19 + x23)/((x26*25.895184 - 0.117315166)**2 + 0.07731865) - 1*4.5014234) - exp(x17),PySRFunction(X=>(x3 + 0.32636696)*((x16*x19 + x23)/((x26*25.895184 - 0.117315166)**2 + 0.07731865) - 1*4.5014234) - exp(x17))
24,161.982,((x3 + 0.32636666) * (((x23 + (x19 * x16)) / (square((x26 * 25.895184) + -0.11731242) + 0.077517055)) - 4.501424)) - (x17 / x7),0.006499924582971066,-x17/x7 + (x3 + 0.32636666)*((x16*x19 + x23)/((x26*25.895184 - 0.11731242)**2 + 0.077517055) - 1*4.501424),PySRFunction(X=>-x17/x7 + (x3 + 0.32636666)*((x16*x19 + x23)/((x26*25.895184 - 0.11731242)**2 + 0.077517055) - 1*4.501424))
